nama,semester,jenis
Basisdata,Genap,Wajib
Pemrograman Web,Genap,Wajib
Struktur Data,Genap,Wajib
Matematika Diskret,Genap,Wajib
Algoritma dan Pemrograman 2,Genap,Wajib
Sistem Operasi,Genap,Wajib
Metode Numerik,Genap,Wajib
Rekayasa Perangkat Lunak,Genap,Wajib
Statistika dan Probabilitas,Genap,Wajib
